Rank,name,Sum,333,222,444,555,333oh,pyram,skewb
1.0,Marin Baholli,25.0,3.0,3.0,2.0,1.0,4.0,9.0,3.0
2.0,Samuel Mema,28.0,6.0,5.0,5.0,5.0,3.0,2.0,2.0
3.0,Kristian Dhimitri,35.0,4.0,1.0,7.0,6.0,5.0,1.0,11.0
4.0,Thomas Mako,37.0,1.0,2.0,1.0,6.0,1.0,15.0,11.0
5.0,Luis Keci,46.0,8.0,6.0,8.0,6.0,6.0,6.0,6.0
6.0,Xhonatan Kapxhiu,48.0,2.0,7.0,3.0,2.0,6.0,17.0,11.0
7.0,Albi Sevrani,54.0,7.0,12.0,4.0,3.0,2.0,17.0,9.0
8.0,Henri Simoni,55.0,11.0,9.0,6.0,4.0,6.0,11.0,8.0
9.0,Alen Rusi,56.0,5.0,3.0,8.0,6.0,6.0,17.0,11.0
10.0,Erti Shorri,57.0,14.0,8.0,8.0,6.0,6.0,4.0,11.0
11.0,Fladijon Tafili,60.0,13.0,11.0,8.0,6.0,6.0,5.0,11.0
12.0,Enea Kostallari,63.0,10.0,14.0,8.0,6.0,6.0,8.0,11.0
13.0,Arenc Nuri,68.0,16.0,16.0,8.0,6.0,6.0,12.0,4.0
14.0,Kevin Sufaj,70.0,12.0,10.0,8.0,6.0,6.0,17.0,11.0
15.0,Matias Hasanaj,74.0,17.0,13.0,8.0,6.0,6.0,14.0,10.0
16.0,Samuel Dumi,76.0,15.0,24.0,8.0,6.0,6.0,10.0,7.0
16.0,Said Shytaj,76.0,18.0,17.0,8.0,6.0,6.0,16.0,5.0
18.0,Regi Ajdini,81.0,9.0,24.0,8.0,6.0,6.0,17.0,11.0
18.0,Ihsan Gun,81.0,32.0,15.0,8.0,6.0,6.0,3.0,11.0
20.0,Nasiel Tafili,86.0,22.0,20.0,8.0,6.0,6.0,13.0,11.0
21.0,Adan Spahi,87.0,20.0,19.0,8.0,6.0,6.0,17.0,11.0
22.0,Hakan Gun,88.0,32.0,18.0,8.0,6.0,6.0,7.0,11.0
23.0,Dionis Shehaj,89.0,27.0,24.0,8.0,6.0,6.0,17.0,1.0
24.0,Berke Ustundag,91.0,19.0,24.0,8.0,6.0,6.0,17.0,11.0
24.0,Arben Qoku,91.0,21.0,22.0,8.0,6.0,6.0,17.0,11.0
26.0,Emanuel Marku,92.0,23.0,21.0,8.0,6.0,6.0,17.0,11.0
27.0,Holden Lako,95.0,24.0,23.0,8.0,6.0,6.0,17.0,11.0
28.0,Julia Hasani,97.0,25.0,24.0,8.0,6.0,6.0,17.0,11.0
29.0,Suzana Hasani,98.0,26.0,24.0,8.0,6.0,6.0,17.0,11.0
30.0,Erida Troqe,100.0,28.0,24.0,8.0,6.0,6.0,17.0,11.0
31.0,Auxhest Keci,101.0,29.0,24.0,8.0,6.0,6.0,17.0,11.0
32.0,Haki Hasani,102.0,30.0,24.0,8.0,6.0,6.0,17.0,11.0
33.0,Albi Mema,103.0,31.0,24.0,8.0,6.0,6.0,17.0,11.0
