Rank,name,Sum,333,222,333oh
1.0,Roger Nataniel Issassa dos Santos,7.0,3.0,1.0,3.0
2.0,Vivaldo Cristóvão Roque,14.0,6.0,2.0,6.0
3.0,José Francisco Manuel,15.0,1.0,13.0,1.0
4.0,José Carlos Cardoso Borba,17.0,2.0,13.0,2.0
5.0,Daniel Ginina Vunge,21.0,4.0,10.0,7.0
5.0,Kevin Rafael da Silva Sirgado,21.0,7.0,3.0,11.0
5.0,Juvenal Chalale,21.0,10.0,6.0,5.0
8.0,Augusto Jorge Mateus Calunga,25.0,12.0,5.0,8.0
9.0,Kahilo Pedro Massango,27.0,5.0,12.0,10.0
10.0,Belarmino Eusébio Chalale,30.0,13.0,13.0,4.0
11.0,Aniceto Rodrigues Cahongolo Lourenço,33.0,8.0,13.0,12.0
11.0,Lio Fernandes,33.0,11.0,13.0,9.0
13.0,Hilton Adolfo Cardoso Batalha,37.0,9.0,13.0,15.0
13.0,Filipe dos Prazeres,37.0,18.0,4.0,15.0
15.0,Aline Nsukami Dompetelo Nsalambi,41.0,19.0,7.0,15.0
15.0,Ariclenes Ebenézer Dias Manuel,41.0,15.0,13.0,13.0
17.0,André Firmino Tchivango,42.0,14.0,13.0,15.0
18.0,Leandro Vindu Kalemba,44.0,16.0,13.0,15.0
19.0,Kiami Albuquerque Cabral,45.0,17.0,13.0,15.0
20.0,Cláudio Vidal da Silva Morais,46.0,24.0,8.0,14.0
21.0,Afonso Ndombe Jurante Quimboco,48.0,20.0,13.0,15.0
22.0,Ermelinda Zua André,49.0,25.0,9.0,15.0
22.0,Aristides Arão,49.0,21.0,13.0,15.0
24.0,Carlos Junior de Carvalho Correia,50.0,22.0,13.0,15.0
25.0,Erivaldo Bernardo Joaquim,51.0,23.0,13.0,15.0
26.0,Malcolm Lutuima Simosa Neto,54.0,26.0,13.0,15.0
27.0,Luquene de Jesus Francisco,55.0,27.0,13.0,15.0
28.0,Marcus Alair Mendes Viana da Costa e Silva,56.0,28.0,13.0,15.0
29.0,Rui Verona Issassa dos Santos,57.0,31.0,11.0,15.0
29.0,Valentino Chalale,57.0,29.0,13.0,15.0
31.0,Quioma Morais,58.0,30.0,13.0,15.0
32.0,Amélcio António Vidal Morais,60.0,32.0,13.0,15.0
33.0,Breno Fernandes,61.0,33.0,13.0,15.0
34.0,Kinavuidi Simão Paxe,62.0,34.0,13.0,15.0
35.0,Gabriel Ângelo Vemba Pipa,63.0,35.0,13.0,15.0
36.0,Jorge Manuel Batista da Costa,64.0,36.0,13.0,15.0
37.0,Letícia da Costa Madaleno,65.0,37.0,13.0,15.0
38.0,Reynold Filipe Moniz Buila,66.0,38.0,13.0,15.0
39.0,Nataniel António Morais,67.0,39.0,13.0,15.0
