Rank,name,Sum,333,222,444,555,666,777,333bf,333oh,minx,pyram,skewb,sq1
1.0,Lir Ukaj,13.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
2.0,Leon Axhemi,30.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0
3.0,Biant Shkololli,40.0,3.0,5.0,5.0,4.0,2.0,2.0,1.0,4.0,2.0,7.0,3.0,2.0
4.0,Arian Fazlija,42.0,5.0,4.0,4.0,3.0,2.0,2.0,2.0,6.0,2.0,7.0,3.0,2.0
5.0,Hilmi Hoxha,51.0,10.0,6.0,6.0,4.0,2.0,2.0,2.0,5.0,2.0,7.0,3.0,2.0
5.0,Fisnik Vrellaku,51.0,6.0,7.0,7.0,4.0,2.0,2.0,2.0,7.0,2.0,7.0,3.0,2.0
7.0,Thot Haxha,57.0,8.0,11.0,7.0,4.0,2.0,2.0,2.0,7.0,2.0,7.0,3.0,2.0
7.0,Rion Jashari,57.0,12.0,10.0,7.0,4.0,2.0,2.0,2.0,7.0,2.0,5.0,2.0,2.0
9.0,Drin Culaj,58.0,11.0,9.0,7.0,4.0,2.0,2.0,2.0,7.0,2.0,7.0,3.0,2.0
10.0,Kron Salihu,59.0,14.0,8.0,7.0,4.0,2.0,2.0,2.0,7.0,2.0,6.0,3.0,2.0
11.0,Bleon Zhitia,62.0,7.0,17.0,7.0,4.0,2.0,2.0,2.0,7.0,2.0,7.0,3.0,2.0
12.0,Erblin Ibrahimi,64.0,9.0,17.0,7.0,4.0,2.0,2.0,2.0,7.0,2.0,7.0,3.0,2.0
13.0,Geldon Gash,66.0,16.0,12.0,7.0,4.0,2.0,2.0,2.0,7.0,2.0,7.0,3.0,2.0
14.0,Lorik Ukaj,68.0,13.0,17.0,7.0,4.0,2.0,2.0,2.0,7.0,2.0,7.0,3.0,2.0
15.0,Leart Ukaj,70.0,15.0,17.0,7.0,4.0,2.0,2.0,2.0,7.0,2.0,7.0,3.0,2.0
16.0,Orges Zogjani,71.0,20.0,13.0,7.0,4.0,2.0,2.0,2.0,7.0,2.0,7.0,3.0,2.0
16.0,Ledion Pllana,71.0,18.0,15.0,7.0,4.0,2.0,2.0,2.0,7.0,2.0,7.0,3.0,2.0
18.0,Heron Mahmutaj,72.0,21.0,16.0,7.0,4.0,2.0,2.0,2.0,7.0,2.0,4.0,3.0,2.0
18.0,Erion Gushlla,72.0,17.0,17.0,7.0,4.0,2.0,2.0,2.0,7.0,2.0,7.0,3.0,2.0
20.0,Erlis Fazliu,74.0,19.0,17.0,7.0,4.0,2.0,2.0,2.0,7.0,2.0,7.0,3.0,2.0
21.0,Nart Krasniqi,75.0,23.0,14.0,7.0,4.0,2.0,2.0,2.0,7.0,2.0,7.0,3.0,2.0
22.0,Furkan Kumnova,77.0,22.0,17.0,7.0,4.0,2.0,2.0,2.0,7.0,2.0,7.0,3.0,2.0
