Rank,name,Sum,333,222,444,555,666,333oh,minx,pyram,skewb,sq1
1.0,Anđela Zečević,23.0,10.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0
2.0,Ognjen Leković,39.0,4.0,2.0,5.0,4.0,2.0,1.0,4.0,7.0,4.0,6.0
3.0,Damjan Dževerdanović,40.0,2.0,4.0,7.0,6.0,2.0,4.0,4.0,4.0,2.0,5.0
4.0,David Pantović,46.0,3.0,3.0,3.0,5.0,2.0,10.0,4.0,5.0,9.0,2.0
5.0,Vuk Jovanović,50.0,13.0,5.0,4.0,3.0,2.0,7.0,2.0,9.0,1.0,4.0
6.0,Marko Kovačević,59.0,8.0,7.0,9.0,6.0,2.0,9.0,4.0,3.0,8.0,3.0
7.0,Dino Sabotic,60.0,5.0,9.0,6.0,6.0,2.0,8.0,4.0,1.0,13.0,6.0
8.0,Jovan Bjelica,63.0,6.0,6.0,2.0,2.0,2.0,12.0,4.0,10.0,13.0,6.0
9.0,Miloš Šebek,76.0,11.0,10.0,9.0,6.0,2.0,5.0,4.0,16.0,7.0,6.0
10.0,Balsa Stojkovic,81.0,14.0,8.0,9.0,6.0,2.0,12.0,4.0,15.0,5.0,6.0
11.0,Una Spadijer,88.0,15.0,17.0,8.0,6.0,2.0,12.0,3.0,6.0,13.0,6.0
12.0,Petar Boljević,90.0,12.0,15.0,9.0,6.0,2.0,6.0,4.0,24.0,6.0,6.0
13.0,Mihailo Senić,91.0,1.0,23.0,9.0,6.0,2.0,3.0,4.0,24.0,13.0,6.0
14.0,Vladan Savićević,96.0,19.0,11.0,9.0,6.0,2.0,12.0,4.0,14.0,13.0,6.0
15.0,Ilija Mugosa,100.0,23.0,18.0,9.0,6.0,2.0,11.0,4.0,8.0,13.0,6.0
16.0,Slobodan Boljević,102.0,24.0,16.0,9.0,6.0,2.0,12.0,4.0,13.0,10.0,6.0
17.0,Petar Janjušević,106.0,7.0,23.0,9.0,6.0,2.0,12.0,4.0,24.0,13.0,6.0
18.0,Božidar Kapetanov,108.0,9.0,23.0,9.0,6.0,2.0,12.0,4.0,24.0,13.0,6.0
19.0,Dalibor Španjević,111.0,17.0,22.0,9.0,6.0,2.0,12.0,4.0,20.0,13.0,6.0
20.0,Slaven Vuković,112.0,28.0,20.0,9.0,6.0,2.0,12.0,4.0,12.0,13.0,6.0
21.0,Aleksandar Božović,115.0,20.0,23.0,9.0,6.0,2.0,12.0,4.0,20.0,13.0,6.0
21.0,Ognjen Đuković,115.0,16.0,23.0,9.0,6.0,2.0,12.0,4.0,24.0,13.0,6.0
23.0,Ksenija Kankaraš,117.0,26.0,21.0,9.0,6.0,2.0,12.0,4.0,18.0,13.0,6.0
23.0,Vladimir Milošević,117.0,18.0,23.0,9.0,6.0,2.0,12.0,4.0,24.0,13.0,6.0
25.0,Ognjen Živković,118.0,29.0,13.0,9.0,6.0,2.0,12.0,4.0,24.0,13.0,6.0
25.0,Mihailo Kalinić,118.0,27.0,23.0,9.0,6.0,2.0,12.0,4.0,17.0,12.0,6.0
27.0,David Marđokić,119.0,21.0,23.0,9.0,6.0,2.0,12.0,4.0,23.0,13.0,6.0
28.0,Luka Pantović,120.0,30.0,19.0,9.0,6.0,2.0,12.0,4.0,19.0,13.0,6.0
29.0,Matija Kenjic,121.0,22.0,23.0,9.0,6.0,2.0,12.0,4.0,24.0,13.0,6.0
30.0,Sara Krgović,122.0,36.0,23.0,9.0,6.0,2.0,12.0,4.0,11.0,13.0,6.0
31.0,Nikola Perišić,123.0,24.0,23.0,9.0,6.0,2.0,12.0,4.0,24.0,13.0,6.0
32.0,Sara Krgovic,124.0,36.0,12.0,9.0,6.0,2.0,12.0,4.0,24.0,13.0,6.0
33.0,Dario Alivodić,125.0,35.0,14.0,9.0,6.0,2.0,12.0,4.0,24.0,13.0,6.0
34.0,Nikolina Dževerdanović,128.0,33.0,23.0,9.0,6.0,2.0,12.0,4.0,22.0,11.0,6.0
35.0,Elina Sabotic,130.0,31.0,23.0,9.0,6.0,2.0,12.0,4.0,24.0,13.0,6.0
36.0,Lazar Senić,131.0,32.0,23.0,9.0,6.0,2.0,12.0,4.0,24.0,13.0,6.0
37.0,Luka Ratković,133.0,34.0,23.0,9.0,6.0,2.0,12.0,4.0,24.0,13.0,6.0
