Rank,name,Sum,333,222,444,555,333bf,333fm,333oh,minx,pyram,skewb,sq1
1.0,Mohamed Elkhatri,29.0,1.0,2.0,1.0,1.0,3.0,3.0,1.0,1.0,5.0,8.0,3.0
2.0,Mohamed Ben Driss Chokri,43.0,7.0,4.0,6.0,3.0,3.0,3.0,3.0,6.0,4.0,1.0,3.0
3.0,Anass Doublal,49.0,9.0,6.0,5.0,4.0,3.0,2.0,7.0,6.0,2.0,2.0,3.0
4.0,Anas Meziani,51.0,6.0,7.0,3.0,2.0,3.0,3.0,2.0,2.0,16.0,5.0,2.0
5.0,Badr Ait Belaid,53.0,2.0,3.0,19.0,5.0,1.0,1.0,6.0,6.0,1.0,8.0,1.0
6.0,Omar Ouadouha,61.0,4.0,8.0,2.0,5.0,2.0,3.0,4.0,4.0,18.0,8.0,3.0
7.0,Kaiss Mikou,79.0,11.0,1.0,19.0,5.0,3.0,3.0,13.0,6.0,7.0,8.0,3.0
8.0,Laila Yahya,89.0,16.0,5.0,19.0,5.0,3.0,3.0,23.0,6.0,3.0,3.0,3.0
9.0,Marouane El Qoraychi,95.0,25.0,11.0,12.0,5.0,3.0,3.0,9.0,6.0,10.0,8.0,3.0
10.0,Soufiane Lakhlifi,96.0,17.0,15.0,19.0,5.0,3.0,3.0,11.0,6.0,6.0,8.0,3.0
11.0,Mehdi Jaafour,97.0,8.0,20.0,4.0,5.0,3.0,3.0,8.0,6.0,29.0,8.0,3.0
12.0,Ayoub El Atouany,98.0,3.0,9.0,19.0,5.0,3.0,3.0,10.0,6.0,29.0,8.0,3.0
13.0,Sakina Belakbir,99.0,19.0,10.0,8.0,5.0,3.0,3.0,15.0,6.0,19.0,8.0,3.0
14.0,Aya El Hani,104.0,26.0,14.0,10.0,5.0,3.0,3.0,20.0,3.0,9.0,8.0,3.0
15.0,Anas Fathani,109.0,5.0,16.0,19.0,5.0,3.0,3.0,12.0,6.0,29.0,8.0,3.0
16.0,Ismail Yacoubi,115.0,18.0,13.0,19.0,5.0,3.0,3.0,23.0,6.0,14.0,8.0,3.0
17.0,Fady Loukili,117.0,30.0,17.0,11.0,5.0,3.0,3.0,18.0,6.0,13.0,8.0,3.0
18.0,Yassine Jdidi,125.0,31.0,12.0,17.0,5.0,3.0,3.0,22.0,6.0,15.0,8.0,3.0
19.0,Nouamane Ezzemrany,126.0,14.0,43.0,7.0,5.0,3.0,3.0,5.0,6.0,29.0,8.0,3.0
20.0,Hatim Fertat,127.0,10.0,18.0,19.0,5.0,3.0,3.0,23.0,6.0,29.0,8.0,3.0
21.0,Hamza Mohamed Ouaritini,130.0,28.0,22.0,19.0,5.0,3.0,3.0,16.0,6.0,17.0,8.0,3.0
22.0,Yasmine Amadi,135.0,12.0,24.0,19.0,5.0,3.0,3.0,23.0,6.0,29.0,8.0,3.0
23.0,Ismail Diouri,139.0,20.0,26.0,13.0,5.0,3.0,3.0,23.0,6.0,29.0,8.0,3.0
24.0,Jawad Ben Slimane,141.0,24.0,21.0,16.0,5.0,3.0,3.0,23.0,6.0,29.0,8.0,3.0
25.0,Zaid Nbigat,144.0,38.0,25.0,19.0,5.0,3.0,3.0,23.0,6.0,11.0,8.0,3.0
25.0,Mohamed Amine Zernoun,144.0,21.0,43.0,9.0,5.0,3.0,3.0,14.0,6.0,29.0,8.0,3.0
27.0,Mehdi Chbani,149.0,39.0,29.0,14.0,5.0,3.0,3.0,17.0,6.0,22.0,8.0,3.0
28.0,Mamoune Benabdallah,155.0,13.0,43.0,19.0,5.0,3.0,3.0,23.0,6.0,29.0,8.0,3.0
29.0,Ayman Bourchachene,156.0,14.0,43.0,19.0,5.0,3.0,3.0,23.0,6.0,29.0,8.0,3.0
30.0,Soufiane Adeir,162.0,37.0,43.0,19.0,5.0,3.0,3.0,23.0,6.0,12.0,8.0,3.0
31.0,Fassi Fihri Mamoun,164.0,55.0,23.0,19.0,5.0,3.0,3.0,23.0,6.0,20.0,4.0,3.0
31.0,Bentayfor Yassine,164.0,35.0,30.0,19.0,5.0,3.0,3.0,23.0,6.0,29.0,8.0,3.0
31.0,Yanis Ibrahimi,164.0,46.0,19.0,19.0,5.0,3.0,3.0,23.0,6.0,29.0,8.0,3.0
31.0,Salim Ameziane,164.0,22.0,43.0,19.0,5.0,3.0,3.0,23.0,6.0,29.0,8.0,3.0
35.0,Madani Aloui Yassine,165.0,23.0,43.0,19.0,5.0,3.0,3.0,23.0,6.0,29.0,8.0,3.0
35.0,Riad Erramdani,165.0,27.0,43.0,19.0,5.0,3.0,3.0,19.0,6.0,29.0,8.0,3.0
37.0,Ali Bensouda,167.0,41.0,27.0,19.0,5.0,3.0,3.0,23.0,6.0,29.0,8.0,3.0
38.0,Amine Lahrachi,170.0,32.0,43.0,15.0,5.0,3.0,3.0,23.0,6.0,29.0,8.0,3.0
39.0,Mahmoud Imhah,171.0,29.0,43.0,19.0,5.0,3.0,3.0,23.0,6.0,29.0,8.0,3.0
40.0,Saad Ghamgui,175.0,33.0,43.0,19.0,5.0,3.0,3.0,23.0,6.0,29.0,8.0,3.0
41.0,Ziad Razani,176.0,34.0,43.0,19.0,5.0,3.0,3.0,23.0,6.0,29.0,8.0,3.0
42.0,Younes Chafi,178.0,52.0,33.0,19.0,5.0,3.0,3.0,23.0,6.0,23.0,8.0,3.0
42.0,Amine El Azami,178.0,36.0,43.0,19.0,5.0,3.0,3.0,23.0,6.0,29.0,8.0,3.0
44.0,Alami Louati Ilyas,179.0,44.0,36.0,19.0,5.0,3.0,3.0,23.0,6.0,29.0,8.0,3.0
44.0,Rabie Rahhali,179.0,43.0,41.0,18.0,5.0,3.0,3.0,21.0,6.0,28.0,8.0,3.0
46.0,Sami Ait Moulay,181.0,50.0,34.0,19.0,5.0,3.0,3.0,23.0,6.0,27.0,8.0,3.0
47.0,Yassine Balazi,182.0,40.0,43.0,19.0,5.0,3.0,3.0,23.0,6.0,29.0,8.0,3.0
48.0,Malak Rabi,184.0,42.0,43.0,19.0,5.0,3.0,3.0,23.0,6.0,29.0,8.0,3.0
48.0,Mohamed Youssef El Mouchtaray,184.0,57.0,28.0,19.0,5.0,3.0,3.0,23.0,6.0,29.0,8.0,3.0
50.0,Tayeb El Ouadrassi Tlidi,187.0,45.0,43.0,19.0,5.0,3.0,3.0,23.0,6.0,29.0,8.0,3.0
51.0,Youssef Ouassil,188.0,61.0,35.0,19.0,5.0,3.0,3.0,23.0,6.0,24.0,6.0,3.0
52.0,Reda El Messaoudi,189.0,47.0,43.0,19.0,5.0,3.0,3.0,23.0,6.0,29.0,8.0,3.0
53.0,Jaafar Bendahou,190.0,48.0,43.0,19.0,5.0,3.0,3.0,23.0,6.0,29.0,8.0,3.0
54.0,Mouad Khallouk,191.0,49.0,43.0,19.0,5.0,3.0,3.0,23.0,6.0,29.0,8.0,3.0
55.0,Amine Laaguidi,193.0,51.0,43.0,19.0,5.0,3.0,3.0,23.0,6.0,29.0,8.0,3.0
56.0,Mohamed Mourou,195.0,65.0,31.0,19.0,5.0,3.0,3.0,23.0,6.0,29.0,8.0,3.0
56.0,Ayoub Dif,195.0,53.0,43.0,19.0,5.0,3.0,3.0,23.0,6.0,29.0,8.0,3.0
56.0,Mohamed El Akadi,195.0,67.0,37.0,19.0,5.0,3.0,3.0,23.0,6.0,21.0,8.0,3.0
59.0,Badr Eddine Aboutabit,196.0,54.0,43.0,19.0,5.0,3.0,3.0,23.0,6.0,29.0,8.0,3.0
60.0,Douae El Hani,197.0,59.0,43.0,19.0,5.0,3.0,3.0,23.0,6.0,25.0,8.0,3.0
60.0,Aicha Azzaoui,197.0,56.0,43.0,19.0,5.0,3.0,3.0,23.0,5.0,29.0,8.0,3.0
62.0,Wael Houmache,200.0,58.0,43.0,19.0,5.0,3.0,3.0,23.0,6.0,29.0,8.0,3.0
63.0,Ayman Laassel,202.0,60.0,43.0,19.0,5.0,3.0,3.0,23.0,6.0,29.0,8.0,3.0
64.0,Zacaria Maritoune,204.0,83.0,43.0,19.0,5.0,3.0,3.0,23.0,6.0,8.0,8.0,3.0
64.0,Mariam Elkhatri,204.0,62.0,43.0,19.0,5.0,3.0,3.0,23.0,6.0,29.0,8.0,3.0
66.0,Rime Rhfouda,205.0,63.0,43.0,19.0,5.0,3.0,3.0,23.0,6.0,29.0,8.0,3.0
67.0,El Hassani Mohamed Zakaria,206.0,64.0,43.0,19.0,5.0,3.0,3.0,23.0,6.0,29.0,8.0,3.0
68.0,Omar Benchbana,207.0,76.0,32.0,19.0,5.0,3.0,3.0,23.0,6.0,29.0,8.0,3.0
69.0,Omar El Mountacir,208.0,69.0,40.0,19.0,5.0,3.0,3.0,23.0,6.0,29.0,8.0,3.0
69.0,Chaimaa Moubarik,208.0,66.0,43.0,19.0,5.0,3.0,3.0,23.0,6.0,29.0,8.0,3.0
71.0,Amine Kabbaj,210.0,68.0,43.0,19.0,5.0,3.0,3.0,23.0,6.0,29.0,8.0,3.0
72.0,Benzouina Youssef,212.0,70.0,43.0,19.0,5.0,3.0,3.0,23.0,6.0,29.0,8.0,3.0
73.0,Youssef Fahmi,213.0,71.0,43.0,19.0,5.0,3.0,3.0,23.0,6.0,29.0,8.0,3.0
74.0,Hiba Benlhaj,214.0,72.0,43.0,19.0,5.0,3.0,3.0,23.0,6.0,29.0,8.0,3.0
75.0,Oualid Ezzahiri,215.0,73.0,43.0,19.0,5.0,3.0,3.0,23.0,6.0,29.0,8.0,3.0
76.0,Mohamed Bouslama,216.0,74.0,43.0,19.0,5.0,3.0,3.0,23.0,6.0,29.0,8.0,3.0
76.0,Ilyas Ouassil,216.0,75.0,42.0,19.0,5.0,3.0,3.0,23.0,6.0,29.0,8.0,3.0
78.0,Souad Jaafri,219.0,77.0,43.0,19.0,5.0,3.0,3.0,23.0,6.0,29.0,8.0,3.0
79.0,Sara Bouqua,220.0,78.0,43.0,19.0,5.0,3.0,3.0,23.0,6.0,29.0,8.0,3.0
79.0,Ziad Yahya,220.0,83.0,38.0,19.0,5.0,3.0,3.0,23.0,6.0,29.0,8.0,3.0
81.0,Monir Amerkhous,221.0,79.0,43.0,19.0,5.0,3.0,3.0,23.0,6.0,29.0,8.0,3.0
81.0,Afaf Yahya,221.0,83.0,39.0,19.0,5.0,3.0,3.0,23.0,6.0,29.0,8.0,3.0
81.0,Rayane Ouassil,221.0,83.0,43.0,19.0,5.0,3.0,3.0,23.0,6.0,26.0,7.0,3.0
84.0,Zineb Aarab,222.0,80.0,43.0,19.0,5.0,3.0,3.0,23.0,6.0,29.0,8.0,3.0
85.0,Imane Ouaali,223.0,81.0,43.0,19.0,5.0,3.0,3.0,23.0,6.0,29.0,8.0,3.0
86.0,Chaimae Eddiouri,224.0,82.0,43.0,19.0,5.0,3.0,3.0,23.0,6.0,29.0,8.0,3.0
