Rank,name,Sum,333,222,444,555,666,333oh,minx,pyram,skewb
1.0,Mohammed Al Said,16.0,2.0,2.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0
1.0,Zaid Taqi,16.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0
3.0,Qais Ali Taqi,23.0,3.0,3.0,3.0,3.0,2.0,4.0,2.0,1.0,2.0
4.0,Mohammed Jaffer Baqer Mohamed,29.0,4.0,4.0,4.0,3.0,2.0,2.0,2.0,6.0,2.0
5.0,Salim Al Yahyaei,31.0,5.0,5.0,5.0,3.0,2.0,3.0,2.0,4.0,2.0
6.0,Ammar Taqi,39.0,9.0,6.0,6.0,3.0,2.0,4.0,2.0,5.0,2.0
7.0,Mazin Altarshi,40.0,7.0,7.0,6.0,3.0,2.0,4.0,2.0,7.0,2.0
8.0,Khalfan Salim Al-Arfi,44.0,10.0,9.0,6.0,3.0,2.0,4.0,2.0,7.0,1.0
8.0,Hamza Saeed Abdul Ghafoor Saif Udeen,44.0,6.0,12.0,6.0,3.0,2.0,4.0,2.0,7.0,2.0
10.0,Hamid Al Yahyaei,46.0,12.0,8.0,6.0,3.0,2.0,4.0,2.0,7.0,2.0
11.0,Hamza Al Lawati,47.0,8.0,13.0,6.0,3.0,2.0,4.0,2.0,7.0,2.0
12.0,Hamza Saeed Abdul Ghafoor Saif Udeen,48.0,11.0,11.0,6.0,3.0,2.0,4.0,2.0,7.0,2.0
13.0,Ahmed Taqi,49.0,13.0,10.0,6.0,3.0,2.0,4.0,2.0,7.0,2.0
