Rank,name,Sum,333,222,444,555,333bf,333oh,clock,minx,pyram,skewb
1.0,Marin Baholli,29.0,3.0,8.0,1.0,2.0,2.0,2.0,2.0,3.0,5.0,1.0
2.0,Samuel Mema,33.0,4.0,3.0,5.0,6.0,2.0,4.0,2.0,3.0,2.0,2.0
3.0,Thomas Mako,40.0,1.0,2.0,2.0,5.0,1.0,1.0,2.0,3.0,12.0,11.0
4.0,Kristian Dhimitri,49.0,9.0,1.0,8.0,7.0,2.0,5.0,2.0,3.0,1.0,11.0
5.0,Albi Sevrani,53.0,5.0,6.0,3.0,3.0,2.0,3.0,2.0,3.0,17.0,9.0
6.0,Luis Keci,59.0,8.0,5.0,14.0,7.0,2.0,9.0,2.0,3.0,6.0,3.0
7.0,Xhonatan Kapxhiu,61.0,2.0,10.0,4.0,1.0,2.0,9.0,2.0,3.0,17.0,11.0
8.0,Henri Simoni,64.0,11.0,9.0,6.0,4.0,2.0,7.0,2.0,2.0,13.0,8.0
9.0,Fladijon Tafili,69.0,12.0,12.0,7.0,7.0,2.0,9.0,2.0,3.0,4.0,11.0
10.0,Enea Kostallari,70.0,7.0,7.0,15.0,7.0,2.0,9.0,2.0,3.0,7.0,11.0
11.0,Erti Shorri,73.0,14.0,11.0,9.0,7.0,2.0,6.0,2.0,3.0,8.0,11.0
12.0,Alen Rusi,76.0,6.0,4.0,15.0,7.0,2.0,9.0,2.0,3.0,17.0,11.0
13.0,Said Shytaj,78.0,18.0,17.0,10.0,7.0,2.0,9.0,1.0,1.0,9.0,4.0
14.0,Arenc Nuri,86.0,16.0,18.0,13.0,7.0,2.0,9.0,2.0,3.0,10.0,6.0
15.0,Matias Hasanaj,89.0,17.0,14.0,11.0,7.0,2.0,9.0,2.0,3.0,14.0,10.0
16.0,Kevin Sufaj,91.0,10.0,15.0,15.0,7.0,2.0,9.0,2.0,3.0,17.0,11.0
17.0,Samuel Dumi,99.0,15.0,25.0,15.0,7.0,2.0,8.0,2.0,3.0,15.0,7.0
18.0,Ihsan Gun,100.0,32.0,16.0,15.0,7.0,2.0,9.0,2.0,3.0,3.0,11.0
19.0,Regi Ajdini,104.0,13.0,25.0,15.0,7.0,2.0,9.0,2.0,3.0,17.0,11.0
20.0,Adan Spahi,105.0,20.0,19.0,15.0,7.0,2.0,9.0,2.0,3.0,17.0,11.0
20.0,Hakan Gun,105.0,32.0,13.0,15.0,7.0,2.0,9.0,2.0,3.0,11.0,11.0
22.0,Arben Qoku,108.0,23.0,22.0,12.0,7.0,2.0,9.0,2.0,3.0,17.0,11.0
23.0,Berke Ustundag,110.0,19.0,25.0,15.0,7.0,2.0,9.0,2.0,3.0,17.0,11.0
23.0,Nasiel Tafili,110.0,25.0,20.0,15.0,7.0,2.0,9.0,2.0,3.0,16.0,11.0
23.0,Dionis Shehaj,110.0,26.0,24.0,15.0,7.0,2.0,9.0,2.0,3.0,17.0,5.0
26.0,Emanuel Marku,111.0,22.0,23.0,15.0,7.0,2.0,9.0,2.0,3.0,17.0,11.0
26.0,Holden Lako,111.0,24.0,21.0,15.0,7.0,2.0,9.0,2.0,3.0,17.0,11.0
28.0,Julia Hasani,112.0,21.0,25.0,15.0,7.0,2.0,9.0,2.0,3.0,17.0,11.0
29.0,Suzana Hasani,118.0,27.0,25.0,15.0,7.0,2.0,9.0,2.0,3.0,17.0,11.0
30.0,Albi Mema,119.0,28.0,25.0,15.0,7.0,2.0,9.0,2.0,3.0,17.0,11.0
31.0,Erida Troqe,120.0,29.0,25.0,15.0,7.0,2.0,9.0,2.0,3.0,17.0,11.0
32.0,Auxhest Keci,121.0,30.0,25.0,15.0,7.0,2.0,9.0,2.0,3.0,17.0,11.0
33.0,Haki Hasani,122.0,31.0,25.0,15.0,7.0,2.0,9.0,2.0,3.0,17.0,11.0
