Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,minx,pyram,skewb,sq1
1.0,Anđela Zečević,26.0,7.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0
2.0,Ognjen Leković,37.0,1.0,2.0,5.0,3.0,2.0,2.0,2.0,1.0,1.0,7.0,6.0,4.0,1.0
3.0,Vuk Jovanović,57.0,12.0,9.0,4.0,4.0,2.0,2.0,2.0,3.0,8.0,3.0,4.0,1.0,3.0
4.0,Marko Kovačević,61.0,9.0,3.0,7.0,6.0,2.0,2.0,2.0,3.0,7.0,2.0,5.0,8.0,5.0
4.0,Damjan Dževerdanović,61.0,4.0,7.0,8.0,7.0,2.0,2.0,2.0,3.0,4.0,4.0,9.0,3.0,6.0
6.0,David Pantović,63.0,2.0,1.0,3.0,5.0,2.0,2.0,2.0,3.0,10.0,8.0,11.0,10.0,4.0
7.0,Dino Sabotic,83.0,11.0,5.0,6.0,8.0,2.0,2.0,2.0,3.0,9.0,10.0,3.0,14.0,8.0
8.0,Jovan Bjelica,87.0,6.0,8.0,2.0,2.0,2.0,2.0,2.0,3.0,13.0,10.0,15.0,14.0,8.0
9.0,Miloš Šebek,91.0,10.0,10.0,9.0,8.0,2.0,2.0,2.0,3.0,6.0,6.0,19.0,6.0,8.0
10.0,Balsa Stojkovic,96.0,14.0,6.0,10.0,8.0,2.0,2.0,2.0,3.0,12.0,10.0,12.0,7.0,8.0
11.0,Una Spadijer,107.0,15.0,15.0,12.0,8.0,2.0,2.0,2.0,3.0,13.0,5.0,8.0,14.0,8.0
12.0,Ilija Mugosa,114.0,26.0,16.0,13.0,8.0,2.0,2.0,2.0,3.0,11.0,10.0,2.0,11.0,8.0
13.0,Petar Boljević,115.0,13.0,19.0,14.0,8.0,2.0,2.0,2.0,3.0,5.0,10.0,24.0,5.0,8.0
14.0,Mihailo Senić,117.0,3.0,24.0,14.0,8.0,2.0,2.0,2.0,3.0,3.0,10.0,24.0,14.0,8.0
14.0,Vladan Savićević,117.0,18.0,11.0,11.0,8.0,2.0,2.0,2.0,3.0,13.0,9.0,17.0,14.0,7.0
16.0,Slaven Vuković,127.0,31.0,13.0,14.0,8.0,2.0,2.0,2.0,3.0,13.0,10.0,7.0,14.0,8.0
17.0,Slobodan Boljević,128.0,29.0,14.0,14.0,8.0,2.0,2.0,2.0,3.0,13.0,10.0,14.0,9.0,8.0
18.0,Petar Janjušević,129.0,5.0,24.0,14.0,8.0,2.0,2.0,2.0,3.0,13.0,10.0,24.0,14.0,8.0
19.0,Luka Pantović,130.0,24.0,20.0,14.0,8.0,2.0,2.0,2.0,3.0,13.0,10.0,10.0,14.0,8.0
20.0,Božidar Kapetanov,132.0,8.0,24.0,14.0,8.0,2.0,2.0,2.0,3.0,13.0,10.0,24.0,14.0,8.0
21.0,Ksenija Kankaraš,134.0,16.0,21.0,14.0,8.0,2.0,2.0,2.0,3.0,13.0,10.0,21.0,14.0,8.0
22.0,Sara Krgovic,135.0,17.0,18.0,14.0,8.0,2.0,2.0,2.0,3.0,13.0,10.0,24.0,14.0,8.0
23.0,Dalibor Španjević,137.0,20.0,23.0,14.0,8.0,2.0,2.0,2.0,3.0,13.0,10.0,18.0,14.0,8.0
24.0,Ognjen Živković,139.0,27.0,12.0,14.0,8.0,2.0,2.0,2.0,3.0,13.0,10.0,24.0,14.0,8.0
25.0,Ognjen Đuković,143.0,19.0,24.0,14.0,8.0,2.0,2.0,2.0,3.0,13.0,10.0,24.0,14.0,8.0
26.0,Mihailo Kalinić,144.0,30.0,24.0,14.0,8.0,2.0,2.0,2.0,3.0,13.0,10.0,16.0,12.0,8.0
27.0,Vladimir Milošević,145.0,21.0,24.0,14.0,8.0,2.0,2.0,2.0,3.0,13.0,10.0,24.0,14.0,8.0
27.0,David Marđokić,145.0,23.0,24.0,14.0,8.0,2.0,2.0,2.0,3.0,13.0,10.0,22.0,14.0,8.0
29.0,Nikola Perišić,146.0,22.0,24.0,14.0,8.0,2.0,2.0,2.0,3.0,13.0,10.0,24.0,14.0,8.0
30.0,Aleksandar Božović,148.0,25.0,24.0,14.0,8.0,2.0,2.0,2.0,3.0,13.0,10.0,23.0,14.0,8.0
31.0,Sara Krgović,150.0,37.0,24.0,14.0,8.0,2.0,2.0,2.0,3.0,13.0,10.0,13.0,14.0,8.0
32.0,Matija Kenjic,152.0,28.0,24.0,14.0,8.0,2.0,2.0,2.0,3.0,13.0,10.0,24.0,14.0,8.0
32.0,Nikolina Dževerdanović,152.0,35.0,22.0,14.0,8.0,2.0,2.0,2.0,3.0,13.0,10.0,20.0,13.0,8.0
34.0,Dario Alivodić,153.0,36.0,17.0,14.0,8.0,2.0,2.0,2.0,3.0,13.0,10.0,24.0,14.0,8.0
35.0,Luka Ratković,156.0,32.0,24.0,14.0,8.0,2.0,2.0,2.0,3.0,13.0,10.0,24.0,14.0,8.0
36.0,Elina Sabotic,157.0,33.0,24.0,14.0,8.0,2.0,2.0,2.0,3.0,13.0,10.0,24.0,14.0,8.0
37.0,Lazar Senić,158.0,34.0,24.0,14.0,8.0,2.0,2.0,2.0,3.0,13.0,10.0,24.0,14.0,8.0
