Rank,name,Sum,333,222,444,555,333oh,clock,minx,pyram,skewb,sq1
1.0,Ghaith Hussein,29.0,3.0,4.0,1.0,1.0,6.0,2.0,1.0,2.0,7.0,2.0
2.0,Omar Alaksh,42.0,7.0,15.0,2.0,2.0,3.0,2.0,2.0,4.0,4.0,1.0
2.0,Omar Hajo,42.0,6.0,2.0,10.0,3.0,6.0,2.0,3.0,1.0,7.0,2.0
4.0,Ahmad Eyad Mohammad,52.0,12.0,10.0,3.0,3.0,6.0,2.0,3.0,10.0,1.0,2.0
5.0,Adam Kasmi,54.0,2.0,6.0,4.0,3.0,4.0,2.0,3.0,21.0,7.0,2.0
5.0,Mohamed Yahia Antakli,54.0,4.0,1.0,5.0,3.0,6.0,2.0,3.0,21.0,7.0,2.0
7.0,Omar Namani,55.0,13.0,8.0,6.0,3.0,6.0,2.0,3.0,5.0,7.0,2.0
8.0,Mohammad Hajyousef,57.0,8.0,6.0,10.0,3.0,2.0,2.0,3.0,14.0,7.0,2.0
8.0,Mansour Dukhan,57.0,5.0,3.0,10.0,3.0,1.0,2.0,3.0,21.0,7.0,2.0
10.0,Abdulrahman Safa Al Sarraj,58.0,18.0,9.0,8.0,3.0,6.0,1.0,3.0,3.0,5.0,2.0
11.0,Ahmad Joud,60.0,10.0,5.0,10.0,3.0,6.0,2.0,3.0,12.0,7.0,2.0
12.0,Omar Safa Alsarraj,63.0,16.0,13.0,9.0,3.0,6.0,2.0,3.0,7.0,2.0,2.0
13.0,Rasoul Jamal Al Sarraj,71.0,22.0,14.0,10.0,3.0,6.0,2.0,3.0,6.0,3.0,2.0
13.0,Bahaa Aldeen Salahi,71.0,19.0,11.0,10.0,3.0,6.0,2.0,3.0,8.0,7.0,2.0
15.0,Karny Marashlian,72.0,15.0,12.0,7.0,3.0,6.0,2.0,3.0,15.0,7.0,2.0
16.0,Ali Ahmad Alchurbaji,76.0,1.0,21.0,10.0,3.0,6.0,2.0,3.0,21.0,7.0,2.0
17.0,Ali Mohammad,82.0,14.0,21.0,10.0,3.0,5.0,2.0,3.0,16.0,6.0,2.0
18.0,Almoumen Billah Allahham,84.0,9.0,21.0,10.0,3.0,6.0,2.0,3.0,21.0,7.0,2.0
19.0,Rayan Abazeed,85.0,20.0,21.0,10.0,3.0,6.0,2.0,3.0,11.0,7.0,2.0
20.0,Mohammad Mobarak,86.0,11.0,21.0,10.0,3.0,6.0,2.0,3.0,21.0,7.0,2.0
21.0,Mustafa Altadmri,88.0,21.0,21.0,10.0,3.0,6.0,2.0,3.0,13.0,7.0,2.0
22.0,Ferris Babili,90.0,30.0,18.0,10.0,3.0,6.0,2.0,3.0,9.0,7.0,2.0
23.0,Rahim Basal,92.0,25.0,17.0,10.0,3.0,6.0,2.0,3.0,17.0,7.0,2.0
23.0,Besher Waddah,92.0,17.0,21.0,10.0,3.0,6.0,2.0,3.0,21.0,7.0,2.0
25.0,Taym Alnassan Mustafa,96.0,26.0,16.0,10.0,3.0,6.0,2.0,3.0,21.0,7.0,2.0
26.0,Hagop Doshoghlanian,98.0,23.0,21.0,10.0,3.0,6.0,2.0,3.0,21.0,7.0,2.0
26.0,Ahmad Abdullah,98.0,28.0,19.0,10.0,3.0,6.0,2.0,3.0,18.0,7.0,2.0
28.0,Yousif Almaghribi,99.0,24.0,21.0,10.0,3.0,6.0,2.0,3.0,21.0,7.0,2.0
29.0,Muhab Alkayale,102.0,27.0,21.0,10.0,3.0,6.0,2.0,3.0,21.0,7.0,2.0
30.0,Adnan Shahab,104.0,29.0,21.0,10.0,3.0,6.0,2.0,3.0,21.0,7.0,2.0
30.0,Amr Ramadan,104.0,31.0,20.0,10.0,3.0,6.0,2.0,3.0,20.0,7.0,2.0
32.0,Bishr Albaraa Ramadan,105.0,32.0,21.0,10.0,3.0,6.0,2.0,3.0,19.0,7.0,2.0
33.0,Dima Taja,108.0,33.0,21.0,10.0,3.0,6.0,2.0,3.0,21.0,7.0,2.0
